,price_aprox_usd,surface_covered_in_m2,lat,lon,neighborhood
3776,105000.0,45.0,-34.620233,-58.429597,Caballito
3777,110000.0,31.0,-34.5542681,-58.4576474,Nuñez
3778,185000.0,46.0,-34.56611,-58.463368,Belgrano
3779,70000.0,31.0,-34.6165677784,-58.4774428246,Villa Santa Rita
3780,120000.0,45.0,,,
3781,68000.0,31.0,-34.6184464575,-58.5007250479,Villa Devoto
3782,185000.0,60.0,-34.557808,-58.4519581,Belgrano
3783,84900.0,41.0,-34.5521171,-58.4710166,Nuñez
3784,140000.0,78.0,-34.6206541753,-58.3799130262,San Telmo
3785,125000.0,70.0,-34.6112232,-58.41567,Once
3786,62050.0,39.0,-34.625205,-58.379194,Constitución
3787,170000.0,53.0,-34.568169,-58.434204,Palermo
3788,322000.0,86.0,-34.5602429,-58.4438821,Belgrano
3789,99000.0,53.0,-34.5563184,-58.4789425,Coghlan
3790,187500.0,64.0,-34.597769,-58.42644,Villa Crespo
3791,150000.0,50.0,-34.6405283,-58.5294588,Villa Luro
3792,68000.0,32.0,-34.6173479,-58.4494037,Caballito
3793,280000.0,75.0,-34.574412,-58.431473,Palermo
3794,135000.0,90.0,-34.595991,-58.447341,Villa Crespo
3795,222000.0,64.0,-34.5826274,-58.4518257,Chacarita
3796,82000.0,41.0,-34.5497024,-58.4674904,Nuñez
3797,115000.0,54.0,,,Saavedra
3798,157675.0,59.0,-34.579394,-58.455398,Colegiales
3799,92000.0,40.0,-34.6234793,-58.37716,San Telmo
3800,178000.0,66.0,-34.565913,-58.438725,Palermo
3801,66000.0,35.0,-34.6069338,-58.4712029,Villa del Parque
3802,230000.0,54.0,-34.554824,-58.4374995,Palermo
3803,146700.0,50.0,-34.6235515,-58.3740817,San Telmo
3804,73000.0,35.0,-34.6173396,-58.4493817,Caballito
3805,110000.0,58.0,-34.6231688,-58.4064002,San Cristobal
3806,145000.0,57.0,,,Palermo
3807,139000.0,45.0,-34.5543757,-58.4667834,Belgrano
3808,339000.0,90.0,-34.5917585462,-58.384284881,Barrio Norte
3809,88264.0,35.0,-34.6209278,-58.4458736,Caballito
3810,165000.0,68.0,,,Colegiales
3811,145000.0,50.0,-34.5776068498,-58.4790643969,Villa Urquiza
3812,118000.0,51.0,-34.5982939,-58.3878419,Recoleta
3813,103929.0,35.0,-34.6148483,-58.4604643,Caballito
3814,63000.0,34.0,,,
3815,92000.0,35.0,-34.5860332,-58.4013161,Barrio Norte
3816,120000.0,65.0,-34.5454613,-58.4802128,Saavedra
3817,137000.0,51.0,-34.580146,-58.4648168,Villa Ortuzar
3818,82000.0,38.0,,,San Telmo
3819,174250.0,47.0,-34.6153103,-58.3619834,Puerto Madero
3820,125000.0,50.0,-34.6228034,-58.4004254,San Cristobal
3821,82000.0,53.0,-34.6215721043,-58.4446263313,Caballito
3822,189000.0,76.0,-34.624818,-58.376142,San Telmo
3823,80000.0,34.0,,,
